specobjid,z,oiii_5007_flux,oiii_sigma,oi_6300_flux,h_beta_flux,h_alpha_flux,h_alpha_eqw,sii_6717_flux,sii_6731_flux,nii_6584_flux,oiii_hbeta_ratio,nii_halpha_ratio,w1,w2,w3,w1_w2,w2_w3
299490502078654464,0.06465632,21.44437,182.796,8.490424,25.64047,99.40005,-5.130115,35.33497,21.65778,51.59155,0.8363485,0.5190294,13.538,13.469,11.074,0.06900024,2.395
299491051834468352,0.05265425,35.46671,5.724757,6.269853,38.33226,127.3058,-21.18769,30.26996,25.72297,25.78963,0.9252444,0.2025802,15.291,15.156,12.344,0.1350002,2.812
299499298171676672,0.04808582,55.35548,88.7121,19.59912,91.71097,510.6647,-15.40855,80.1356,70.84364,367.8763,0.6035862,0.7203873,12.901,12.695,8.763,0.2060003,3.932
299500672561211392,0.06518305,18.08399,101.3501,7.274137,66.98206,351.3045,-22.02253,48.68991,36.9456,147.909,0.2699826,0.4210278,13.149,12.906,9.26,0.243,3.646
299503421340280832,0.06490172,95.84792,127.924,32.05777,257.9409,1151.211,-38.92533,194.4022,153.6808,563.4586,0.3715888,0.4894486,13.091,12.818,9.317,0.2729998,3.500999
299504245974001664,0.1146793,203.211,133.1402,30.05624,194.093,919.3564,-59.87991,140.5348,110.5897,384.8589,1.046978,0.4186178,14.109,13.638,9.283,0.4710007,4.355
299504520851908608,0.0606144,10.5722,71.44949,6.340064,30.73027,144.6518,-8.484818,31.04092,17.30779,56.05157,0.3440321,0.3874932,13.58,13.449,10.118,0.1309996,3.331
299506444997257216,0.05654794,46.40644,113.0184,13.7688,34.24051,131.2589,-4.757507,42.04194,28.5483,64.89413,1.355308,0.494398,13.732,13.769,10.907,-0.0369997,2.862
299507544508884992,0.06510994,16.89602,95.07722,9.482595,104.5165,435.4091,-27.60312,57.43588,40.39654,149.0907,0.1616589,0.3424152,13.923,13.717,9.705,0.2060003,4.012
299508918898419712,0.1253916,49.30866,124.9784,9.656131,44.53191,234.3734,-21.20747,39.61915,31.62446,158.4377,1.107266,0.6760058,14.314,13.973,10.379,0.3410006,3.594
299509193776326656,0.02196459,111.6831,47.29158,9.332932,53.58604,168.5709,-40.99857,34.46608,21.96995,16.38062,2.084182,0.09717345,,,,,
299511667677489152,0.127676,19.36009,149.1395,6.817031,39.90464,204.2957,-21.22016,37.21172,24.43758,107.4403,0.4851589,0.5259059,14.165,13.656,10.366,0.5089998,3.29
299513316944930816,0.06741422,51.88348,74.16819,22.94478,117.5592,625.9243,-59.226,125.9418,82.95983,187.5996,0.4413392,0.2997161,,,,,
299514966212372480,0.3002294,550.4642,69.66227,8.604175,146.4158,476.0201,-318.0587,38.30648,29.20604,46.50169,3.759597,0.0976885,17.537,16.565,12.384,0.9720001,4.181001
299516890357721088,0.0047763,31517.64,29.81158,140.5447,5755.302,18835.12,-1776.436,491.8314,386.6843,219.5181,5.476278,0.01165472,14.264,12.962,8.22,1.302,4.742
299517989869348864,0.1315038,68.8668,95.62992,5.741499,39.86888,174.6208,-23.71665,20.41914,26.54523,129.9966,1.727332,0.7444506,14.599,14.323,10.857,0.276,3.466
299518264747255808,0.006036635,135.8967,33.67781,12.09055,97.55373,288.7176,-24.85231,72.70258,51.44818,43.89219,1.393044,0.1520247,14.063,14.012,11.936,0.05099964,2.076
299518539625162752,0.0893447,33.11293,125.844,16.28823,28.48076,143.5105,-8.185278,62.81574,50.12525,116.9966,1.162642,0.8152479,13.886,13.708,11.134,0.1779995,2.574
299518814503069696,0.1231987,34.62197,151.6178,24.92998,111.3009,555.7532,-23.83372,101.1896,75.75684,256.0729,0.3110663,0.4607673,13.48,13.201,9.694,0.2789993,3.507
299519089380976640,0.03580831,210.5195,64.55535,33.85272,333.1961,1311.788,-46.32598,256.0965,182.8083,359.1024,0.6318186,0.2737502,13.255,13.12,9.131,0.1350002,3.989
299520463770511360,0.09212417,9.526958,30.33166,6.191783,32.91386,120.0885,-16.85751,24.62576,16.54677,46.92726,0.2894513,0.3907722,14.982,14.75,11.015,0.2320004,3.735
299524586939115520,0.06248942,37.32424,79.13648,13.74299,83.53896,350.3976,-19.99756,71.99741,50.20187,129.4616,0.4467885,0.3694706,13.534,13.313,9.356,0.2210007,3.957
299529534741440512,0.05217639,86.13953,81.74523,44.57067,266.446,1334.967,-36.2537,210.0699,146.9877,489.7381,0.3232907,0.3668542,12.803,12.539,8.263,0.2640009,4.276
299529809619347456,0.03070351,594.889,87.56316,28.95586,58.5244,307.6506,-7.988836,83.42992,67.1727,269.4241,10.1648,0.875747,12.366,12.202,9.028,0.1640005,3.174
299530909130975232,0.05248393,145.1758,184.8772,36.25033,218.4372,1031.952,-47.20582,133.5714,107.7979,284.6306,0.6646113,0.2758176,13.46,12.961,8.602,0.4989996,4.359
299531733764696064,0.05354775,70.26048,71.87561,18.67075,83.58832,376.7933,-45.71288,82.11623,58.40382,107.1019,0.8405538,0.2842458,14.498,14.246,10.38,0.2519999,3.866
