specobjid,z,oiii_5007_flux,oiii_sigma,oi_6300_flux,h_beta_flux,h_alpha_flux,h_alpha_eqw,sii_6717_flux,sii_6731_flux,nii_6584_flux,oiii_hbeta_ratio,nii_halpha_ratio,w1,w2,w3,w1_w2,w2_w3,log_nii,log_oiii,BPT class,abs_h_alpha_eqw,WHAN class,WISE class,AGN in all,n_e,log_MBH,mbh_bin
299490502078654464,0.06465632,21.44437,182.796,8.490424,25.64047,99.40005,-5.130115,35.33497,21.65778,51.59155,0.8363485,0.5190294,13.538,13.469,11.074,0.06900024,2.395,-0.2848080411955936,-0.07761271766979713,Composite,5.130115,Weak AGN,Other,False,-94.95880712756052,7.972965503722675,"(7.5, 8.0]"
299491051834468352,0.05265425,35.46671,5.724757,6.269853,38.33226,127.3058,-21.18769,30.26996,25.72297,25.78963,0.9252444,0.2025802,15.291,15.156,12.344,0.1350002,2.812,-0.6934030044395025,-0.03374353477265995,Star-forming,21.18769,Star-forming,Other,False,229.7422569903867,1.9260427858120182,"(1.5, 2.0]"
299499298171676672,0.04808582,55.35548,88.7121,19.59912,91.71097,510.6647,-15.40855,80.1356,70.84364,367.8763,0.6035862,0.7203873,12.901,12.695,8.763,0.2060003,3.932,-0.14243395213864773,-0.21926069820785068,Composite,15.40855,Seyfert,Other,False,285.5939603872532,6.710750514717367,"(6.5, 7.0]"
299500672561211392,0.06518305,18.08399,101.3501,7.274137,66.98206,351.3045,-22.02253,48.68991,36.9456,147.909,0.2699826,0.4210278,13.149,12.906,9.26,0.243,3.646,-0.3756892272332344,-0.5686642246094942,Star-forming,22.02253,Seyfert,Other,False,93.33143787649215,6.943272627215238,"(6.5, 7.0]"
299503421340280832,0.06490172,95.84792,127.924,32.05777,257.9409,1151.211,-38.92533,194.4022,153.6808,563.4586,0.3715888,0.4894486,13.091,12.818,9.317,0.2729998,3.500999,-0.31029290939394355,-0.42993738448329516,Star-forming,38.92533,Seyfert,Other,False,139.0629891974088,7.349806580909269,"(7.0, 7.5]"
299504245974001664,0.1146793,203.211,133.1402,30.05624,194.093,919.3564,-59.87991,140.5348,110.5897,384.8589,1.046978,0.4186178,14.109,13.638,9.283,0.4710007,4.355,-0.3781823090183,0.019937556006459682,Composite,59.87991,Seyfert,Other,False,133.76581035626376,7.419582421542241,"(7.0, 7.5]"
299504520851908608,0.0606144,10.5722,71.44949,6.340064,30.73027,144.6518,-8.484818,31.04092,17.30779,56.05157,0.3440321,0.3874932,13.58,13.449,10.118,0.1309996,3.331,-0.41173591439222373,-0.46340103358407597,Star-forming,8.484818,Star-forming,Other,False,-158.23572625014725,6.332935932827681,"(6.0, 6.5]"
299506444997257216,0.05654794,46.40644,113.0184,13.7688,34.24051,131.2589,-4.757507,42.04194,28.5483,64.89413,1.355308,0.494398,13.732,13.769,10.907,-0.0369997,2.862,-0.30592329477749436,0.13203800185262313,Composite,4.757507,Weak AGN,Other,False,-13.767910037511557,7.133519019341441,"(7.0, 7.5]"
299507544508884992,0.06510994,16.89602,95.07722,9.482595,104.5165,435.4091,-27.60312,57.43588,40.39654,149.0907,0.1616589,0.3424152,13.923,13.717,9.705,0.2060003,4.012,-0.46544696499486804,-0.7914003806627643,Star-forming,27.60312,Star-forming,Other,False,17.730437371743257,6.831726845868194,"(6.5, 7.0]"
299508918898419712,0.1253916,49.30866,124.9784,9.656131,44.53191,234.3734,-21.20747,39.61915,31.62446,158.4377,1.107266,0.6760058,14.314,13.973,10.379,0.3410006,3.594,-0.1700495778790902,0.04425196455987224,Composite,21.20747,Seyfert,Other,False,150.41880941934198,7.309135958386952,"(7.0, 7.5]"
299511667677489152,0.127676,19.36009,149.1395,6.817031,39.90464,204.2957,-21.22016,37.21172,24.43758,107.4403,0.4851589,0.5259059,14.165,13.656,10.366,0.5089998,3.29,-0.27909195692362176,-0.3141159972927706,Composite,21.22016,Seyfert,Other,False,-41.90748108484141,7.6177020021107555,"(7.5, 8.0]"
299514966212372480,0.3002294,550.4642,69.66227,8.604175,146.4158,476.0201,-318.0587,38.30648,29.20604,46.50169,3.759597,0.0976885,17.537,16.565,12.384,0.9720001,4.181001,-1.010156558906639,0.5751412943807701,Star-forming,318.0587,Star-forming,Other,False,98.47763461248154,6.288709858598223,"(6.0, 6.5]"
