#Table1
specobjid,z,ra,dec,plate,mjd,fiberid,fwhm_hbeta,h_beta_flux,h_beta_eqw,h_gamma_flux,oiii_5007_flux,oiii_hbeta_ratio,oiii_hgamma_ratio,hbeta_hgamma_ratio,e_bv_sfd
717269470510344192,0.5993487,315.00519,-7.1934279,637,52174,259,1177.4,3992.194,-11.40223,1681.008,1007.524,0.2523734,0.5993569,2.374881,0.07477354
462849620679092224,0.5324706,44.906114,0.62673576,411,51817,381,1177.4,1313.903,-10.74767,428.4151,552.5841,0.4205669,1.289833,3.066892,0.08810838
1932140511615805440,0.5008188,223.84395,12.121759,1716,53827,350,1177.4,798.7177,-9.304626,419.5505,720.553,0.9021373,1.71744,1.903746,0.03326718
1378205711091132416,0.5228383,174.06308,10.57526,1224,52765,379,1177.4,1333.446,-12.69335,487.05,453.2127,0.3398808,0.9305261,2.737802,0.04002199
2642528650955614208,0.5113347,152.62729,25.997088,2347,53757,151,1177.4,1452.441,-16.70732,670.8977,1001.238,0.6893487,1.492386,2.164921,0.02648882
1974917553834715136,0.4343848,171.67925,15.765243,1754,53385,324,1177.4,1279.667,-15.685,557.6337,826.9564,0.646228,1.482974,2.294816,0.03020268
2038017433503033344,0.4596158,213.28812,9.3364555,1810,53794,504,1177.4,1133.808,-14.90093,465.4471,291.4393,0.2570447,0.6261491,2.435954,0.02485074
2290143690586351616,0.5083145,166.41591,34.426286,2034,53466,230,1177.4,2134.027,-10.54055,808.8143,806.2338,0.3777993,0.9968096,2.638463,0.02323727
2979187303743776768,0.4338264,186.22692,21.379555,2646,54479,204,1177.4,1557.825,-9.889492,813.9636,243.7922,0.1564952,0.2995124,1.913876,0.02289122
1099036129480435712,0.4689836,257.88044,33.595388,976,52413,574,1177.4,1784.66,-20.90205,760.7375,333.6759,0.1869689,0.4386216,2.345961,0.03079161
624894827279968256,0.4688599,144.3867,54.618835,555,52266,74,1177.4,552.9328,-10.00354,257.3792,352.2626,0.6370804,1.368653,2.14832,0.02161665
2837389338185066496,0.4358573,237.68164,11.346521,2520,54584,442,1177.4,178.4678,-11.22126,103.8488,631.3001,3.537334,6.07903,1.718534,0.05334958
895235601370998784,0.5607508,234.05038,52.698492,795,52378,528,1177.4,625.2177,-12.8672,331.0123,291.8894,0.4668604,0.8818083,1.888805,0.01193781
2978041887471986688,0.4930311,184.08088,21.564188,2645,54477,133,1177.4,937.1426,-14.06366,380.9955,749.1631,0.7994121,1.96633,2.459721,0.02225282
301805798739175424,0.595322,149.49356,-0.39835189,268,51633,235,1177.4,677.1182,-9.859278,210.7526,281.3248,0.4154737,1.334858,3.212858,0.03354528
720716989286344704,0.4174148,321.58192,-6.9024873,640,52178,513,1177.4,952.4866,-10.36639,541.1448,318.3071,0.3341854,0.5882106,1.760133,0.09496573
2446677869343041536,0.4557629,239.48613,21.176356,2173,53874,354,1177.4,509.9599,-11.65119,204.3893,328.9943,0.6451375,1.609646,2.495043,0.05542863
2075194121030494208,0.4980763,224.11339,31.363648,1843,53816,584,1177.4,557.34,-12.03965,232.5813,249.477,0.4476209,1.072644,2.396323,0.01577194
