specobjid,z,class,subclass,fwhm_hbeta,h_beta_flux,h_beta_eqw,h_gamma_flux,oiii_5007_flux,oiii_hbeta_ratio,oiii_hgamma_ratio,hbeta_hgamma_ratio,e_bv_sfd
1773428476443912192,0.2688824,QSO,BROADLINE,1177.4,1758.446,-17.37642,710.2274,277.1395,0.1576048,0.3902123,2.475892,0.05115553
1999766524558075904,0.1341881,QSO,BROADLINE,1177.4,1311.827,-13.2989,560.2008,881.886,0.6722579,1.574232,2.341709,0.03179598
2595230970286204928,0.1933094,GALAXY,,1159.568,523.0571,-3.19212,797.9016,20.48948,0.03917255,0.02567921,0.6555409,0.1242009
2793445423480596480,0.06062174,GALAXY,,1177.4,6.356665,-0.1523006,43.33659,24.75229,3.893912,0.5711639,0.1466813,0.03155204
2930742271668152320,0.05387033,GALAXY,,1173.064,49.93454,-0.3709791,31.09171,54.12582,1.083936,1.740844,1.60604,0.02537296
2980361032674863104,0.0581607,GALAXY,,1177.4,33.89186,-0.4854688,42.19018,44.25491,1.305768,1.048939,0.8033115,0.01662156
666598749522388992,0.05100438,GALAXY,,1177.4,39.74822,-0.3664747,21.62636,19.22207,0.4835957,0.8888258,1.837952,0.04467341
342385748860758016,0.05209216,GALAXY,,1177.4,116.535,-0.9988101,113.1007,26.182,0.2246707,0.2314928,1.030365,0.03632782
399808296380295168,0.09262062,QSO,STARBURST BROADLINE,1177.4,1590.3,-10.94744,601.8199,1131.109,0.7112553,1.879482,2.642485,0.04385718
413369676303722496,0.0614777,GALAXY,,1177.4,44.56004,-0.5627213,37.82521,46.82426,1.050813,1.237911,1.178051,0.02805919
1071920523404929024,0.0597778,GALAXY,,1177.4,35.91306,-0.3591314,32.78834,56.92393,1.585048,1.736103,1.0953,0.01568531
1139431091132721152,0.1027759,QSO,BROADLINE,1177.4,3461.101,-22.34332,1471.97,2502.272,0.7229698,1.699948,2.35134,0.01297909
1624772023119013888,0.2248686,QSO,STARBURST BROADLINE,1177.4,4215.459,-21.6249,1771.277,524.3704,0.1243922,0.2960408,2.379898,0.02253275
2063930461536675840,0.05100999,GALAXY,,1177.4,51.26057,-0.4272045,43.84315,59.02945,1.151556,1.346378,1.169181,0.04346284
2080770300357666816,0.2308216,QSO,BROADLINE,1177.4,969.6373,-7.999559,509.3384,316.5716,0.3264846,0.6215349,1.903719,0.04131947
2196799550142834688,0.07885244,QSO,STARBURST BROADLINE,1177.4,8040.256,-20.80499,3266.457,4883.344,0.6073617,1.494997,2.461461,0.01104522
2366784884610983936,0.06168568,GALAXY,,1177.4,44.48927,-0.3869972,33.65313,61.21214,1.375886,1.818914,1.321995,0.007514635
2390407336775673856,0.07700984,QSO,BROADLINE,1177.4,1357.127,-5.379469,942.168,1623.558,1.19632,1.723215,1.44043,0.0183279
463906258752137216,0.08017637,QSO,BROADLINE,1177.4,2925.605,-12.63087,1454.904,1637.148,0.559593,1.125262,2.010858,0.06504875
506813044886628352,0.1112474,QSO,STARBURST BROADLINE,1177.4,1109.689,-22.56711,585.86,379.021,0.341556,0.6469482,1.89412,0.0229581
556228670969112576,0.1842309,QSO,BROADLINE,1177.4,1780.146,-14.36981,836.7058,3279.306,1.842156,3.919306,2.127565,0.01408172
584419055767676928,0.2402315,QSO,BROADLINE,1177.4,2368.552,-10.43072,1205.612,2442.218,1.031102,2.025708,1.964605,0.02099199
3244963728629721088,0.2251655,QSO,BROADLINE,1177.4,1074.858,-12.56096,519.9,391.3485,0.3640934,0.7527382,2.067431,0.009952372
3246113543367452672,0.09967799,QSO,STARBURST BROADLINE,1177.4,4169.275,-27.72459,2296.28,14873.48,3.567403,6.47721,1.815665,0.01186498
2930788726034425856,0.06738997,QSO,STARBURST BROADLINE,1177.4,4510.373,-27.85945,2181.303,13407.49,2.972589,6.14655,2.067743,0.02857031
2942070540002682880,0.06355042,QSO,AGN BROADLINE,1177.4,3590.22,-11.70968,1967.854,3924.688,1.093161,1.994401,1.824435,0.02681515
636238762933774336,0.2967729,QSO,BROADLINE,1177.4,2577.094,-16.616,1179.156,440.1302,0.1707854,0.3732586,2.185541,0.04973055
731911666337343488,0.07390003,QSO,STARBURST BROADLINE,1177.4,2517.656,-19.92488,1239.828,6401.678,2.542713,5.163361,2.03065,0.03201083
