specobjid,class,subclass,fwhm_hbeta,fwhm_oiii,oiii_5007_flux,oiii_5007_flux_err,oiii_5007_eqw,h_beta_flux,h_beta_flux_err,h_beta_eqw,h_alpha_flux,h_alpha_flux_err,h_alpha_eqw,nii_6584_flux,nii_6584_flux_err,nii_6584_eqw,oiii_hbeta_ratio,nii_halpha_ratio
338924766721239040,GALAXY,BROADLINE,478.1871,442.5101,78.39893,9.146924,-0.7304714,45.66092,9.089925,-0.3367933,135.2715,13.43996,-0.9966961,155.3322,12.57127,-1.178219,1.716981,1.148299
338991287174719488,GALAXY,STARFORMING,275.23,301.8552,324.1389,8.940432,-3.13004,589.4449,9.630146,-5.363711,2299.229,20.39949,-21.50537,1348.496,14.53949,-12.31617,0.5499052,0.5864994
340022899698067456,GALAXY,STARFORMING,375.664,426.7946,638.9077,14.49786,-4.142563,1519.601,17.74848,-9.316946,6541.773,44.78582,-41.42977,3709.226,28.83434,-22.95228,0.4204443,0.5670062
389691963177199616,GALAXY,,368.8243,343.3826,108.3453,6.690306,-1.261482,63.04348,6.55344,-0.639528,168.1538,8.990896,-1.454268,242.2146,8.756283,-2.123575,1.71858,1.440435
392955038911195136,GALAXY,STARFORMING,324.0412,285.5166,44.03122,2.895383,-0.8774087,212.1412,3.265459,-4.491336,1010.639,5.867961,-22.68967,412.7115,3.994951,-9.181781,0.2075562,0.4083667
392956963056543744,GALAXY,,184.1089,227.8249,13.83089,2.492117,-0.3601384,12.34777,1.826411,-0.1868554,26.74763,2.294482,-0.87844,40.25853,2.9269,-1.173526,1.120112,1.505125
392990498161190912,GALAXY,STARBURST,101.0586,93.43804,937.1672,6.487122,-18.03418,599.9487,4.775586,-11.09085,1766.253,10.78336,-53.46431,326.4864,2.819829,-10.06236,1.562079,0.1848469
393002317911189504,GALAXY,STARFORMING,105.5149,72.05795,213.4467,3.227259,-4.554326,245.9491,3.063022,-5.517438,728.4457,5.537152,-20.62274,173.3242,2.290783,-4.914368,0.8678491,0.237937
393022933754210304,GALAXY,STARBURST,145.55,148.5208,221.8488,4.399277,-2.828971,1058.584,7.380199,-12.47811,5413.769,29.58297,-68.78324,1898.237,10.37977,-23.86773,0.2095712,0.3506313
393049596911183872,GALAXY,STARFORMING,129.2194,142.367,99.86073,2.35027,-2.655662,278.9562,2.934425,-6.712476,956.2443,5.600202,-29.83076,329.3289,2.807112,-10.13841,0.3579799,0.3443983
