specobjid,class,subclass,w1mpro,w2mpro,w3mpro,w1_w2_color,w2_w3_color,fwhm_hbeta,fwhm_oiii,oiii_5007_flux,oiii_5007_flux_err,oiii_5007_eqw,h_beta_flux,h_beta_flux_err,h_beta_eqw,h_alpha_flux,h_alpha_flux_err,h_alpha_eqw,nii_6584_flux,nii_6584_flux_err,nii_6584_eqw,oiii_hbeta_ratio,nii_halpha_ratio
564146534447343616,GALAXY,STARFORMING,12.418,12.371,9.071,0.04699993,3.3,172.7869,184.9973,133.8292,4.681295,-2.064747,463.1262,6.060826,-6.259577,1859.106,13.9993,-29.61922,963.9767,8.354939,-15.42211,0.2889692,0.5185164
564120695924090880,GALAXY,AGN,11.658,11.64,8.881,0.01799965,2.759001,203.3289,310.2919,201.2907,6.807603,-2.278651,128.325,5.192445,-0.9570242,632.7863,9.622921,-5.941417,430.8555,9.043493,-4.078833,1.568601,0.6808864
564176496139200512,GALAXY,AGN,11.461,11.253,8.011,0.2080002,3.242001,217.0755,220.4691,1802.648,16.44949,-16.96375,629.8487,9.47629,-5.810346,2483.975,21.24338,-18.95081,1633.201,15.92884,-11.78685,2.862034,0.657495
564231471720589312,GALAXY,AGN,12.077,12.129,9.679,-0.05200005,2.45,157.308,184.2417,41.79954,3.978508,-0.5610958,53.39894,3.45164,-0.3290068,216.9138,5.625008,-2.83579,156.9189,5.729785,-2.055688,0.7827783,0.7234158
1079879063478233088,GALAXY,BROADLINE,11.092,10.94,8.402,0.1520004,2.537999,355.7773,406.7678,557.58,16.39448,-3.444003,72.47333,10.37286,-0.2455744,487.1251,18.84616,-2.994361,743.6385,20.18256,-4.246109,7.693589,1.526586
1341019676557207552,GALAXY,STARBURST,10.584,10.385,6.354,0.1989994,4.031,210.9669,276.7025,474.108,18.33411,-2.350913,2923.707,33.38526,-11.99328,11551.39,90.17013,-58.82576,5544.387,45.72739,-27.58527,0.1621599,0.4799757
1641565689917499392,GALAXY,STARFORMING,10.575,10.425,6.231,0.1499996,4.194,110.0471,219.824,79.49393,9.618537,-0.5942581,263.3401,8.643849,-1.174268,1227.583,17.15419,-7.013223,524.75,13.88941,-3.134249,0.301868,0.4274661
2087455045875427328,GALAXY,BROADLINE,10.771,10.807,9.574,-0.03600025,1.233,117.4755,158.2792,151.4102,11.30373,-0.9024032,78.75883,8.238578,-0.2620172,235.927,13.61166,-1.299445,250.981,15.64519,-1.350275,1.922454,1.063808
2376879215116052480,GALAXY,,11.583,11.639,10.993,-0.05599976,0.6459999,408.8238,389.8252,58.93805,7.878466,-0.7316847,65.82576,8.586015,-0.6646615,136.6208,12.77046,-1.087483,135.8701,11.59498,-1.105357,0.8953645,0.9945053
2376877016092796928,GALAXY,,11.128,11.222,10.735,-0.09399986,0.4870005,317.8226,282.0781,90.28316,8.763405,-0.8786923,73.25039,8.57451,-0.5898705,175.6071,12.96151,-1.323358,183.9544,12.45023,-1.34337,1.232528,1.047534
2382420760212826112,GALAXY,AGN BROADLINE,10.471,10.496,8.929,-0.02500057,1.567,242.0152,229.754,209.1131,10.86544,-1.269516,124.4478,9.257589,-0.6663957,476.8856,16.00148,-2.656513,486.6194,15.9632,-2.530746,1.680329,1.020411
561935137542006784,GALAXY,STARFORMING,11.701,11.602,8.485,0.09899998,3.117001,417.136,416.879,96.24347,5.509517,-1.260445,159.8145,5.19357,-1.922842,794.5302,9.647806,-9.871308,528.73,8.544439,-6.385872,0.6022201,0.6654626
335536072102537216,GALAXY,BROADLINE,11.063,11.179,10.38,-0.1160002,0.7989998,191.0424,238.5447,111.1376,7.04607,-0.9776561,58.32586,5.689563,-0.3731556,161.0728,8.028925,-1.371961,128.6146,8.097485,-0.8665945,1.90546,0.7984875
335574280131602432,GALAXY,AGN BROADLINE,10.179,10.193,8.266,-0.01399994,1.927,290.9437,350.8604,278.6271,12.4354,-1.139482,203.4313,10.73586,-0.598289,859.0906,19.31125,-3.26108,1349.898,22.09232,-4.591169,1.369637,1.571311
601270715932502016,GALAXY,BROADLINE,11.376,11.48,10.678,-0.1039991,0.8019991,420.8635,329.6237,88.7822,9.827951,-0.6311505,64.62541,9.50408,-0.3688562,183.0829,13.808,-1.295843,135.8652,12.203,-0.973692,1.373797,0.7420967
600252293236942848,GALAXY,AGN BROADLINE,10.623,10.584,8.646,0.03900051,1.938,443.9744,431.4333,370.8294,15.85544,-2.088998,185.4991,13.90043,-0.9236403,805.1729,26.42174,-3.81842,1017.009,25.84062,-4.662676,1.99909,1.263094
863585057539909632,GALAXY,BROADLINE,11.309,11.25,7.907,0.05900002,3.343,207.9108,247.3414,47.16491,6.526983,-0.4104919,66.66055,5.609068,-0.3983771,301.6982,9.860383,-2.51451,186.4405,9.843291,-1.556583,0.7075385,0.6179702
860251063171704832,GALAXY,STARFORMING BROADLINE,10.881,10.915,8.288,-0.0340004,2.627,194.1792,259.4988,49.40711,6.936547,-0.5125495,119.125,6.671094,-0.9723619,503.1718,11.46475,-4.064285,319.7461,10.91371,-2.531457,0.4147501,0.6354611
862513858252662784,GALAXY,BROADLINE,10.815,10.926,9.991,-0.1110001,0.9349995,195.1885,295.1337,95.70547,8.060999,-0.8311567,44.00045,6.830678,-0.2607701,140.2651,9.875976,-0.897211,210.8182,10.86907,-1.408571,2.175102,1.502998
1105760468607199232,GALAXY,AGN BROADLINE,9.973,10.042,8.984,-0.06900024,1.058,418.9213,409.3321,503.1044,20.20856,-1.934204,322.9061,18.7202,-1.240766,744.0453,29.18538,-2.416456,874.8703,28.7188,-2.866647,1.558051,1.175829
1880254570081314816,GALAXY,AGN,10.134,10.084,7.426,0.05000019,2.658,319.2899,319.9608,237.6495,10.08489,-1.750863,252.3057,8.738088,-1.823419,1606.07,21.8181,-9.399811,1717.963,21.61934,-9.738722,0.9419109,1.069669
2107783088707758080,GALAXY,BROADLINE,11.25,11.27,9.48,-0.02000046,1.790001,389.8892,349.2805,106.9262,7.678758,-1.078375,38.71738,6.814003,-0.2536111,207.8772,11.38772,-1.872894,318.041,11.24036,-2.659759,2.761711,1.529946
2112312544944220160,GALAXY,STARFORMING,11.159,11.145,8.41,0.01399994,2.735001,170.2464,228.6232,56.02723,4.856888,-0.4935824,142.3694,4.736556,-1.020074,586.373,8.341527,-4.906971,383.2055,7.901463,-3.330195,0.3935342,0.6535183
2112230081572136960,GALAXY,,11.436,11.469,9.226,-0.03299999,2.243,294.6019,307.8322,70.05108,5.374682,-0.8080513,33.80684,4.978065,-0.1982774,159.3696,6.761344,-1.643241,202.9392,6.735823,-1.986092,2.072098,1.273387
2112349378583750656,GALAXY,STARBURST,11.423,11.322,8.374,0.1010008,2.948,238.9745,230.3059,13021.97,62.8258,-81.65446,4448.987,25.96056,-27.08089,14187.44,65.54818,-101.2347,1680.922,13.41255,-11.87972,2.92695,0.1184796
2402717195474855936,GALAXY,STARBURST,11.772,11.595,7.484,0.177,4.111,184.7225,183.6544,2892.2,24.18692,-29.1058,2002.187,17.60451,-19.61456,8577.315,54.7556,-88.84198,2390.671,18.50767,-24.58313,1.444521,0.2787202
2402770246910896128,GALAXY,STARFORMING BROADLINE,11.256,11.289,8.611,-0.03299999,2.677999,212.5853,233.4383,157.666,9.09106,-1.082093,232.2401,8.178154,-1.126699,860.988,14.87995,-5.540867,537.3231,13.58105,-3.438456,0.6788923,0.6240773
2402769697155082240,GALAXY,BROADLINE,10.403,10.457,9.421,-0.0539999,1.036,423.5083,395.9897,191.5258,11.23669,-1.399382,120.4524,10.85445,-0.8613755,315.1962,17.222,-1.794833,465.098,17.19696,-2.555582,1.590055,1.475583
2403901093797980160,GALAXY,STARFORMING BROADLINE,10.825,10.773,7.867,0.05200005,2.906,227.871,231.5583,108.2171,9.492756,-0.6296052,281.4247,9.344771,-1.531017,1269.173,18.58674,-7.318028,548.6845,15.19468,-3.155609,0.384533,0.4323164
2662777806546561024,GALAXY,STARFORMING,9.477,9.214,4.907,0.2630005,4.307,193.7934,235.5376,317.4641,13.79006,-1.348074,910.9386,16.57566,-3.684559,5090.066,46.75567,-17.90412,3208.31,35.67334,-11.42211,0.3485022,0.6303081
2661674171716626432,GALAXY,STARFORMING,11.953,11.912,8.709,0.04100037,3.203,170.3873,194.4091,110.8449,4.58262,-1.561617,310.544,5.209929,-3.962349,1349.172,11.69213,-18.20722,809.4822,8.472859,-10.8394,0.3569378,0.5999846
2662796498244233216,GALAXY,AGN,10.501,10.349,6.904,0.1520004,3.445,196.9347,227.1311,2246.079,22.57477,-14.09772,609.4386,10.66717,-3.636801,2984.619,28.87967,-16.39596,2356.225,23.95648,-13.14187,3.685488,0.789456
595709936344786944,GALAXY,BROADLINE,10.836,10.916,9.566,-0.07999992,1.35,388.2767,429.3998,78.77563,7.787792,-0.8430826,59.15803,6.969028,-0.6112058,166.2006,10.92536,-1.492668,225.5064,11.74542,-1.892505,1.331613,1.356833
595671728315721728,GALAXY,STARBURST,12.582,12.381,8.268,0.2010002,4.113,152.576,142.9121,2545.94,22.25418,-27.55526,2119.171,18.06345,-22.17176,6880.708,46.92344,-101.375,1973.572,14.62986,-29.23273,1.201385,0.2868268
502297900236171264,GALAXY,BROADLINE,11.832,11.926,11.235,-0.09399986,0.691,218.092,265.9354,56.21196,4.889818,-0.8541787,31.91691,4.234848,-0.4192812,78.98113,5.61822,-0.8592288,84.84783,5.882434,-0.9879471,1.761197,1.07428
502299549503612928,GALAXY,AGN,11.904,11.895,10.629,0.008999825,1.266001,269.418,254.7739,126.1024,4.669366,-2.059838,61.65615,4.063365,-0.9519065,262.5349,6.315266,-3.588232,208.9472,5.842685,-2.782153,2.045252,0.7958833
504526335444543488,GALAXY,BROADLINE,10.67,10.723,9.854,-0.0529995,0.8689995,375.7546,475.4846,103.1774,11.92002,-0.8005165,64.18906,10.30844,-0.4473569,147.4253,15.34062,-0.9299855,209.0202,16.77663,-1.261617,1.607399,1.417804
503287185454163968,GALAXY,BROADLINE,10.447,10.549,9.949,-0.1020002,0.5999994,290.1117,248.2381,176.0314,12.16169,-1.137845,126.1171,11.12473,-0.8291435,380.8809,18.23789,-2.023403,307.4327,17.04857,-1.687363,1.395777,0.8071625
