name,z,logMBH,logEdd,m_R
3C 43,1.459,9.2,-1.0,
3C 48,0.369,8.8,-0.3,
3C 67,0.31,8.1,-1.52,
3C 93.1,0.244,7.1,,
3C 138,0.759,8.7,-0.25,16.9
3C 147,0.545,8.7,-0.9,
3C 186,1.063,8.9,-0.3,16.84
3C 190,1.195,7.8,-0.13,17.47
3C 191,1.956,9.7,-1.27,
3C 213.1,0.194,9.1,-0.42,18.39
3C 216,0.67,7.0,-0.3,16.72
3C 241,1.617,7.8,0.56,
3C 268.3,0.372,7.8,,19.58
3C 277.1,0.32,7.6,-0.14,
3C 286,0.849,8.5,-0.09,15.99
3C 287,1.055,9.6,-0.85,16.5
3C 293,0.045,8.0,-1.78,12.803
3C 298,1.439,10.4,-0.83,
3C 303.1,0.27,8.4,,17.91
3C 309.1,0.905,9.1,-0.45,
3C 343,0.988,7.5,0.14,
3C 346,0.162,8.8,-2.54,16.73
3C 380,0.692,9.4,-1.15,15.77
3C 454,1.757,8.6,-0.58,
3C 455,0.543,8.5,-1.62,
3C 459,0.22,8.5,,17.95
2342+821,0.735,7.5,0.18,
4C 14.82,0.235,7.9,-0.79,14.932
PKS 0252-71,0.563,8.0,,
PKS 1151-348,0.258,9.1,-1.54,
PKS 1221-423,0.171,7.8,,
PKS 1524-136,1.687,9.1,-0.91,
PKS 1549-79,0.152,8.0,-0.32,
PKS 2004-447,0.24,7.6,-0.26,
SDSS 1722+565,0.425,7.5,-0.14,
RX J0134-4258,0.237,7.6,0.01,
TeX 11111+329,0.189,7.3,-0.21,
IRAS 2018-2244,0.185,6.5,1.25,
